x_c,arc_s_m,Re_x,Cp,Ue_ms,Ue_Uinf,theta_mm,H_shape,Cf,Re_theta,Re_theta_trans,n_factor,n_crit,intermittency_gamma,state
0.938911,1.923465,6100493.0,0.24468,109.1286,0.88057,2.37942,1.557,0.0021908,6433.26,,0.0,8.184,0.97829,transitional
0.944596,1.935102,6137401.0,0.25731,108.2997,0.87388,2.45722,1.5587,0.0021551,6596.34,,0.0,8.184,0.98079,transitional
0.950021,1.946206,6172619.0,0.27027,107.4421,0.86696,2.53856,1.5623,0.0021158,6764.12,,0.0,8.184,0.98293,transitional
0.955183,1.956771,6206126.0,0.28359,106.5518,0.85978,2.62417,1.5679,0.0020724,6937.87,,0.0,8.184,0.98477,transitional
0.960077,1.966788,6237897.0,0.29734,105.6238,0.85229,2.71493,1.5756,0.0020243,7119.1,,0.0,8.184,0.98635,transitional
0.964701,1.976252,6267912.0,0.31158,104.6523,0.84445,2.81192,1.5857,0.001971,7309.62,,0.0,8.184,0.98771,transitional
0.969051,1.985155,6296151.0,0.32641,103.6304,0.8362,2.91645,1.5985,0.0019115,7511.65,,0.0,8.184,0.98888,transitional
0.973125,1.993493,6322595.0,0.3419,102.5498,0.82749,3.03023,1.6146,0.0018445,7727.97,,0.0,8.184,0.98988,transitional
0.976919,2.001259,6347225.0,0.35818,101.4006,0.81821,3.15542,1.6287,0.0017855,7962.12,,0.0,8.184,0.99074,turbulent
0.980432,2.008448,6370025.0,0.37537,100.1704,0.80829,3.29473,1.6476,0.0017154,8218.27,,0.0,8.184,0.99148,turbulent
0.98366,2.015055,6390980.0,0.39364,98.8438,0.79758,3.4519,1.6711,0.0016355,8502.36,,0.0,8.184,0.99211,turbulent
0.986602,2.021075,6410076.0,0.4132,97.4011,0.78594,3.63208,1.7009,0.001543,8822.36,,0.0,8.184,0.99265,turbulent
0.989256,2.026506,6427299.0,0.43432,95.8166,0.77315,3.84268,1.7399,0.0014338,9189.67,,0.0,8.184,0.99311,turbulent
0.991619,2.031342,6442638.0,0.45733,94.0555,0.75894,4.0948,1.7934,0.0013011,9621.34,,0.0,8.184,0.99349,turbulent
0.993691,2.035581,6456083.0,0.48271,92.0694,0.74292,4.40648,1.8723,0.0011324,10145.23,,0.0,8.184,0.99381,turbulent
0.995469,2.03922,6467624.0,0.51113,89.7876,0.72451,4.81093,2.0067,0.0009009,10814.05,,0.0,8.184,0.99408,turbulent
0.996953,2.042256,6477253.0,0.5436,87.0995,0.70282,5.42014,2.3751,0.000493,11833.95,,0.0,8.184,0.99429,turbulent
0.998141,2.044687,6484964.0,0.58178,83.8178,0.67633,6.17311,2.8066,0.0002442,12989.9,,0.0,8.184,0.99446,turbulent
0.999033,2.046512,6490752.0,0.62873,79.5787,0.64213,7.08799,2.8065,0.0002386,14187.44,,0.0,8.184,0.99458,turbulent
0.999628,2.04773,6494613.0,0.69151,73.4961,0.59305,8.03224,2.8064,0.0002355,14886.29,,0.0,8.184,0.99466,turbulent
0.999926,2.048339,6496544.0,0.83596,56.905,0.45917,8.799,2.8063,0.0002458,12700.89,,0.0,8.184,0.9947,turbulent
