x_c,y_c,Cp,Vx_ms,Vy_ms,speed_ms
0.98,-0.5925,0.05056,120.9955,3.4906,121.0459
0.9875,-0.5925,0.05094,120.9746,3.4647,121.0242
0.995,-0.5925,0.0513,120.9544,3.4382,121.0033
1.0025,-0.5925,0.05164,120.9352,3.4112,120.9833
1.01,-0.5925,0.05198,120.9168,3.3838,120.9641
1.0175,-0.5925,0.05229,120.8992,3.3558,120.9458
1.025,-0.5925,0.05259,120.8826,3.3274,120.9284
1.0325,-0.5925,0.05288,120.8668,3.2987,120.9118
1.04,-0.5925,0.05315,120.852,3.2696,120.8962
1.0475,-0.5925,0.0534,120.838,3.2401,120.8814
1.055,-0.5925,0.05364,120.8249,3.2104,120.8675
1.0625,-0.5925,0.05387,120.8127,3.1804,120.8546
1.07,-0.5925,0.05407,120.8014,3.1503,120.8425
1.0775,-0.5925,0.05427,120.791,3.1199,120.8313
1.085,-0.5925,0.05444,120.7815,3.0894,120.821
1.0925,-0.5925,0.05461,120.7729,3.0587,120.8116
1.1,-0.5925,0.05475,120.7651,3.028,120.8031
1.1075,-0.5925,0.05489,120.7582,2.9972,120.7954
1.115,-0.5925,0.055,120.7522,2.9664,120.7886
1.1225,-0.5925,0.05511,120.747,2.9356,120.7826
1.13,-0.5925,0.05519,120.7426,2.9048,120.7775
1.1375,-0.5925,0.05527,120.739,2.8741,120.7732
1.145,-0.5925,0.05533,120.7363,2.8434,120.7698
1.1525,-0.5925,0.05537,120.7344,2.8128,120.7671
1.16,-0.5925,0.05541,120.7332,2.7824,120.7653
1.1675,-0.5925,0.05543,120.7328,2.7521,120.7642
1.175,-0.5925,0.05543,120.7332,2.722,120.7639
1.1825,-0.5925,0.05542,120.7343,2.6921,120.7643
1.19,-0.5925,0.0554,120.7361,2.6625,120.7654
1.1975,-0.5925,0.05537,120.7386,2.633,120.7673
1.205,-0.5925,0.05533,120.7418,2.6038,120.7699
1.2125,-0.5925,0.05527,120.7456,2.5749,120.7731
1.22,-0.5925,0.0552,120.7501,2.5462,120.777
1.2275,-0.5925,0.05513,120.7553,2.5179,120.7815
1.235,-0.5925,0.05504,120.761,2.4898,120.7867
1.2425,-0.5925,0.05494,120.7674,2.4621,120.7925
1.25,-0.5925,0.05483,120.7743,2.4347,120.7988
